USA;California;Independence Day;2023-07-04;True
USA;Texas;Thanksgiving;2023-11-23;True
Canada;Quebec;National Holiday;2023-06-24;False
Germany;Berlin;Boxing Day;2023-12-25;False
Australia;Queensland;Labor Day;2023-06-30;True
Canada;British Columbia;Christmas;2023-02-17;True
Australia;New South Wales;Easter;2023-10-30;True
Germany;Frankfurt;Easter;2023-11-26;False
Australia;Victoria;Easter;2023-04-08;False
Australia;Queensland;Christmas;2023-01-26;False
Canada;Quebec;Easter;2023-12-11;False
Australia;Western Australia;Christmas;2023-07-13;False
USA;California;Boxing Day;2023-01-20;False
Germany;Berlin;Boxing Day;2023-04-26;False
Germany;Frankfurt;Christmas;2023-04-18;True
Germany;Hamburg;Boxing Day;2023-07-12;False
Australia;Western Australia;New Year's Day;2023-01-30;True
Canada;British Columbia;New Year's Day;2023-10-12;True
Australia;New South Wales;Christmas;2023-10-09;False
Germany;Munich;Christmas;2023-05-08;False
Canada;Ontario;Labor Day;2023-11-01;True
UK;London;Easter;2023-12-30;False
Canada;Quebec;New Year's Day;2023-09-25;False
